Date,Store ID,Product ID,Units Sold,lag_1_sales,lag_7_sales,ma_7_sales,day_sin,price_to_competitor
2022-01-01,S001,P0001,127,0.0,0.0,0.0,0.017201575418260506,1.1283260357022566
2022-01-02,S001,P0001,81,127.0,0.0,127.0,0.03439806061360801,0.904823567497572
2022-01-03,S001,P0001,5,81.0,0.0,104.0,0.051584366869408364,1.076949501889385
2022-01-04,S001,P0001,58,5.0,0.0,71.0,0.06875540848113941,1.0248716936439006
2022-01-05,S001,P0001,147,58.0,0.0,67.75,0.08590610426133272,0.9680272108843538
2022-01-06,S001,P0001,37,147.0,0.0,83.6,0.10303137904317879,1.0429553264604812
2022-01-07,S001,P0001,107,37.0,0.0,75.83333333333333,0.1201261651823505,0.9181972789115647
2022-01-08,S001,P0001,2,107.0,127.0,80.28571428571429,0.13718540405660057,1.0388592917580695
2022-01-09,S001,P0001,350,2.0,81.0,62.42857142857143,0.1542040475626894,1.0785935884177869
2022-01-10,S001,P0001,36,350.0,5.0,100.85714285714286,0.17117705961019986,0.9415154134255258
2022-01-11,S001,P0001,16,36.0,58.0,105.28571428571429,0.18809941761179758,1.0166174298375186
2022-01-12,S001,P0001,104,16.0,147.0,99.28571428571429,0.20496611396949532,0.952146736345937
2022-01-13,S001,P0001,80,104.0,37.0,93.14285714285714,0.22177215755648186,0.7925653969710876
2022-01-14,S001,P0001,177,80.0,107.0,99.28571428571429,0.23851257519407648,1.0344629523262492
2022-01-15,S001,P0001,176,177.0,2.0,109.28571428571429,0.2551824131233728,0.9983706720977598
2022-01-16,S001,P0001,97,176.0,350.0,134.14285714285714,0.2717767384711357,1.4309045226130654
2022-01-17,S001,P0001,69,97.0,36.0,98.0,0.2882906407095177,1.0288336933045357
2022-01-18,S001,P0001,123,69.0,16.0,102.71428571428571,0.3047192331091634,1.048433707085886
2022-01-19,S001,P0001,211,123.0,104.0,118.0,0.321057654185271,1.030612244897959
2022-01-20,S001,P0001,79,211.0,80.0,133.28571428571428,0.3373010691361842,0.9057591623036649
2022-01-21,S001,P0001,390,79.0,177.0,133.14285714285714,0.3534446712740877,0.8652575957727873
2022-01-22,S001,P0001,191,390.0,176.0,163.57142857142858,0.3694836834473831,0.9583378895571351
2022-01-23,S001,P0001,79,191.0,97.0,165.71428571428572,0.38541335945432564,0.8991663358475585
2022-01-24,S001,P0001,9,79.0,69.0,163.14285714285714,0.4012289854475009,1.0113381674357285
2022-01-25,S001,P0001,189,9.0,123.0,154.57142857142858,0.4169258813287287,0.8337119491140391
2022-01-26,S001,P0001,49,189.0,211.0,164.0,0.4324994021339788,1.0726780883678988
2022-01-27,S001,P0001,164,49.0,79.0,140.85714285714286,0.44794493940789115,0.9895049295028093
2022-01-28,S001,P0001,97,164.0,390.0,153.0,0.4632579225674917,1.066066066066066
2022-01-29,S001,P0001,47,97.0,191.0,111.14285714285714,0.4784338202547012,0.9485135717363206
2022-01-30,S001,P0001,130,47.0,79.0,90.57142857142857,0.49346814167723735,0.9381907490790012
2022-01-31,S001,P0001,200,130.0,9.0,97.85714285714286,0.5083564379375122,1.0275842044134729
2022-02-01,S001,P0001,279,200.0,189.0,125.14285714285714,0.5230943033491326,1.01890694239291
2022-02-02,S001,P0001,38,279.0,49.0,138.0,0.5376773767406141,1.0878756476683937
2022-02-03,S001,P0001,71,38.0,164.0,136.42857142857142,0.5521013427459208,0.9568370165745856
2022-02-04,S001,P0001,25,71.0,97.0,123.14285714285714,0.5663619330814524,1.343974461292897
2022-02-05,S001,P0001,350,25.0,47.0,112.85714285714286,0.580454927809098,0.9980597594101668
2022-02-06,S001,P0001,69,350.0,130.0,156.14285714285714,0.5943761565849831,0.9586466165413534
2022-02-07,S001,P0001,62,69.0,200.0,147.42857142857142,0.6081214998935418,1.1775700934579438
2022-02-08,S001,P0001,12,62.0,279.0,127.71428571428571,0.6216868902665479,0.9785879629629629
2022-02-09,S001,P0001,16,12.0,38.0,89.57142857142857,0.6350683134867438,1.003880266075388
2022-02-10,S001,P0001,237,16.0,71.0,86.42857142857143,0.6482618097757122,0.9800875273522975
2022-02-11,S001,P0001,203,237.0,25.0,110.14285714285714,0.6612634749656386,0.8010450160771705
2022-02-12,S001,P0001,29,203.0,350.0,135.57142857142858,0.6740694616546161,1.0524595522144142
2022-02-13,S001,P0001,149,29.0,69.0,89.71428571428571,0.6866759803451553,0.9989446529080676
2022-02-14,S001,P0001,259,149.0,62.0,101.14285714285714,0.6990793005655562,1.0366074279025221
2022-02-15,S001,P0001,111,259.0,12.0,129.28571428571428,0.7112757519738152,0.9529739776951673
2022-02-16,S001,P0001,373,111.0,16.0,143.42857142857142,0.7232617254437388,0.9844528301886792
2022-02-17,S001,P0001,31,373.0,237.0,194.42857142857142,0.7350336741329412,0.9499422410473625
2022-02-18,S001,P0001,27,31.0,203.0,165.0,0.746588114532413,1.0953929539295393
2022-02-19,S001,P0001,27,27.0,29.0,139.85714285714286,0.7579216274973472,1.0603085553997194
